Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.987988,0.993019,0.998491,1.000000,0.832394,0.845890,0.818913,106.763880,0.000355
22,11,1,0.981255,0.982738,0.996825,1.000000,0.717748,0.882258,0.526076,111.083838,0.000210
35,13,7,0.971002,0.973123,0.994656,1.000000,0.678331,0.757695,0.590524,171.091941,0.000229
39,4,12,0.963780,0.965911,0.993473,1.000000,0.717628,0.790298,0.634766,208.544219,0.000231
49,10,19,0.958112,0.961395,0.992151,0.999814,0.714446,0.756315,0.663158,315.062090,0.000282
59,10,42,0.954346,0.954183,0.991461,0.999814,0.728882,0.720778,0.737388,345.463136,0.000257
63,4,71,0.949967,0.950337,0.990436,0.999814,0.740777,0.735244,0.746747,418.015481,0.000290
77,14,72,0.933244,0.941952,0.988760,0.999814,0.706644,0.730824,0.681287,466.068733,0.000276
85,8,81,0.920075,0.933058,0.987567,0.999814,0.709868,0.749649,0.668386,546.359709,0.000284
92,7,98,0.912990,0.922000,0.985575,0.999721,0.719213,0.762643,0.671911,607.755189,0.000289
103,11,124,0.905797,0.916605,0.984885,0.999703,0.722256,0.740996,0.700995,638.206785,0.000269
116,13,151,0.893580,0.902507,0.982459,0.999703,0.756611,0.770978,0.739946,709.986181,0.000246
128,12,152,0.887079,0.891449,0.981434,0.999703,0.742765,0.759413,0.723834,752.755078,0.000237
135,7,155,0.877673,0.883064,0.980191,0.999675,0.742188,0.762831,0.717766,774.753489,0.000233
140,5,158,0.872568,0.880208,0.979541,0.999431,0.738868,0.753963,0.720726,809.413442,0.000233
