Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.985391,0.992901,0.998521,1.000000,0.771658,0.724350,0.818913,147.708732,0.000537
22,11,1,0.978385,0.983342,0.996943,1.000000,0.684941,0.821294,0.526076,217.759726,0.000435
35,13,7,0.967062,0.973727,0.994774,1.000000,0.640420,0.716309,0.556460,307.995771,0.000436
39,4,12,0.958968,0.966515,0.993591,1.000000,0.684349,0.754481,0.604381,359.822268,0.000418
49,10,19,0.954377,0.964168,0.992408,1.000000,0.619902,0.658837,0.572209,429.286017,0.000443
59,10,42,0.949339,0.956956,0.991718,1.000000,0.648864,0.632079,0.666481,509.814039,0.000425
63,4,71,0.941500,0.952148,0.990534,1.000000,0.666155,0.654836,0.678367,569.077698,0.000440
77,14,72,0.922807,0.943763,0.988858,1.000000,0.659146,0.664442,0.653593,653.797048,0.000416
85,8,81,0.904916,0.931744,0.987182,1.000000,0.666798,0.704036,0.627968,716.518954,0.000396
92,7,98,0.897600,0.922129,0.985900,1.000000,0.649794,0.700468,0.594601,753.776882,0.000396
103,11,124,0.891453,0.917321,0.985309,1.000000,0.653331,0.673412,0.630549,825.761937,0.000385
116,13,151,0.877769,0.904184,0.983041,1.000000,0.689987,0.707686,0.669458,1000.396762,0.000379
128,12,152,0.859932,0.890991,0.981167,1.000000,0.711643,0.733925,0.686306,1163.132291,0.000383
135,7,155,0.853818,0.885010,0.980181,1.000000,0.704064,0.723347,0.681249,1204.447381,0.000382
140,5,158,0.850680,0.883836,0.979787,1.000000,0.695771,0.704233,0.685602,1245.418009,0.000381
