Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.985799,0.991727,0.998127,0.998467,0.990941,1.000000,0.981891,40.724078,0.000115
22,11,1,0.979631,0.979764,0.996253,0.998464,0.915249,0.965893,0.856244,44.050413,0.000066
35,13,7,0.959488,0.958130,0.992999,0.998032,0.929648,0.976847,0.877429,76.638675,0.000075
39,4,12,0.952996,0.950918,0.991816,0.997981,0.938242,0.979962,0.890672,80.531135,0.000068
49,10,19,0.940847,0.941359,0.989844,0.997980,0.950330,0.984405,0.908590,110.558475,0.000074
59,10,42,0.932735,0.925254,0.987764,0.996524,0.955764,0.981518,0.928734,133.463343,0.000076
63,4,71,0.925821,0.920446,0.986581,0.996125,0.957942,0.982662,0.931274,145.512002,0.000078
77,14,72,0.904373,0.904849,0.984116,0.996603,0.965753,0.985686,0.944849,162.138760,0.000070
85,8,81,0.889304,0.892830,0.982439,0.997654,0.969877,0.987375,0.951632,179.055451,0.000068
92,7,98,0.881329,0.880811,0.980369,0.996691,0.972112,0.988555,0.954202,193.634826,0.000068
103,11,124,0.860610,0.868848,0.978200,0.996683,0.975127,0.989988,0.958268,227.200649,0.000071
116,13,151,0.847726,0.853307,0.975537,0.997689,0.978622,0.991483,0.963705,254.037024,0.000068
128,12,152,0.831550,0.837710,0.973270,0.994995,0.980853,0.992301,0.967836,282.980576,0.000068
135,7,155,0.818469,0.826921,0.971791,0.991588,0.981762,0.992800,0.968703,300.700979,0.000068
140,5,158,0.809599,0.820940,0.970410,0.991156,0.982606,0.993182,0.969896,317.833618,0.000069
