Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
9,9,0,1.000000,1.000000,1.000000,1.000000,0.788571,NaN,0.788571,1259.365415,0.007099
19,10,5,1.000000,1.000000,1.000000,1.000000,0.542062,NaN,0.542062,1436.158368,0.004319
26,7,8,1.000000,1.000000,1.000000,1.000000,0.493763,NaN,0.493763,1749.784417,0.004278
36,10,22,1.000000,1.000000,1.000000,1.000000,0.538021,NaN,0.538021,2364.968892,0.003684
42,6,27,1.000000,1.000000,1.000000,1.000000,0.566089,NaN,0.566089,2386.504209,0.002925
56,14,42,1.000000,1.000000,1.000000,1.000000,0.574836,NaN,0.574836,3179.921577,0.002825
64,8,48,1.000000,1.000000,1.000000,1.000000,0.615007,NaN,0.615007,4157.585932,0.002987
72,8,62,1.000000,1.000000,1.000000,1.000000,0.634176,NaN,0.634176,4961.735438,0.003164
86,14,80,1.000000,1.000000,1.000000,1.000000,0.657131,NaN,0.657131,6539.189980,0.003208
92,6,94,1.000000,1.000000,1.000000,1.000000,0.666801,NaN,0.666801,7486.366248,0.003400
103,11,96,1.000000,1.000000,1.000000,1.000000,0.646423,NaN,0.646423,8489.492694,0.003621
110,7,131,1.000000,1.000000,1.000000,1.000000,0.647761,NaN,0.647761,8914.014133,0.003483
114,4,144,1.000000,1.000000,1.000000,1.000000,0.649727,NaN,0.649727,9275.175286,0.003565
118,4,155,1.000000,1.000000,1.000000,1.000000,0.652841,NaN,0.652841,9655.289055,0.003582
126,8,200,1.000000,1.000000,1.000000,1.000000,0.644289,NaN,0.644289,10084.891456,0.003582
