Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
9,9,0,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,124.019377,0.000569
19,10,5,1.000000,1.000000,1.000000,1.000000,0.735335,NaN,0.735335,190.305919,0.000454
26,7,8,1.000000,1.000000,1.000000,1.000000,0.648311,NaN,0.648311,227.241164,0.000432
36,10,22,1.000000,1.000000,1.000000,1.000000,0.622491,NaN,0.622491,294.033207,0.000410
42,6,27,1.000000,1.000000,1.000000,1.000000,0.631546,NaN,0.631546,347.777916,0.000392
56,14,42,1.000000,1.000000,1.000000,1.000000,0.637706,NaN,0.637706,458.689623,0.000374
64,8,48,1.000000,1.000000,1.000000,1.000000,0.661259,NaN,0.661259,561.856300,0.000381
72,8,62,1.000000,1.000000,1.000000,1.000000,0.655052,NaN,0.655052,623.411858,0.000391
86,14,80,1.000000,1.000000,1.000000,1.000000,0.681969,NaN,0.681969,761.918952,0.000369
92,6,94,1.000000,1.000000,1.000000,1.000000,0.705440,NaN,0.705440,862.123228,0.000374
103,11,96,1.000000,1.000000,1.000000,1.000000,0.683989,NaN,0.683989,954.052166,0.000387
110,7,131,1.000000,1.000000,1.000000,1.000000,0.683148,NaN,0.683148,994.848007,0.000373
114,4,144,1.000000,1.000000,1.000000,1.000000,0.684462,NaN,0.684462,1042.789258,0.000384
118,4,155,1.000000,1.000000,1.000000,1.000000,0.693181,NaN,0.693181,1091.302221,0.000386
126,8,200,1.000000,1.000000,1.000000,1.000000,0.685407,NaN,0.685407,1156.962995,0.000392
