Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
9,9,0,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,47.257849,0.000217
19,10,5,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,83.291995,0.000146
26,7,8,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,115.767634,0.000143
36,10,22,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,148.618125,0.000129
42,6,27,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,169.192832,0.000121
56,14,42,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,219.287809,0.000114
64,8,48,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,248.534466,0.000111
72,8,62,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,279.099150,0.000115
86,14,80,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,336.774175,0.000111
92,6,94,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,369.318794,0.000113
103,11,96,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,414.850451,0.000115
110,7,131,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,439.077360,0.000112
114,4,144,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,466.019711,0.000118
118,4,155,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,493.177504,0.000121
126,8,200,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,532.457861,0.000124
