Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
9,9,0,1.000000,1.000000,1.000000,1.000000,0.871323,NaN,0.871323,857.629334,0.004213
19,10,5,1.000000,1.000000,1.000000,1.000000,0.620210,NaN,0.620210,1639.691842,0.004587
26,7,8,1.000000,1.000000,1.000000,1.000000,0.547937,NaN,0.547937,1976.976390,0.004594
36,10,22,1.000000,1.000000,1.000000,1.000000,0.574917,NaN,0.574917,2242.646463,0.003382
42,6,27,1.000000,1.000000,1.000000,1.000000,0.608237,NaN,0.608237,2906.207405,0.003329
56,14,42,1.000000,1.000000,1.000000,1.000000,0.598529,NaN,0.598529,3630.602224,0.003022
64,8,48,1.000000,1.000000,1.000000,1.000000,0.638074,NaN,0.638074,4277.163703,0.002912
72,8,62,1.000000,1.000000,1.000000,1.000000,0.658438,NaN,0.658438,4818.972517,0.002909
86,14,80,1.000000,1.000000,1.000000,1.000000,0.691168,NaN,0.691168,6770.756769,0.003202
92,6,94,1.000000,1.000000,1.000000,1.000000,0.697759,NaN,0.697759,7008.081375,0.003044
103,11,96,1.000000,1.000000,1.000000,1.000000,0.680855,NaN,0.680855,8000.723448,0.003244
110,7,131,1.000000,1.000000,1.000000,1.000000,0.674724,NaN,0.674724,8597.332818,0.003250
114,4,144,1.000000,1.000000,1.000000,1.000000,0.672419,NaN,0.672419,8993.003261,0.003367
118,4,155,1.000000,1.000000,1.000000,1.000000,0.673744,NaN,0.673744,9322.746765,0.003384
126,8,200,1.000000,1.000000,1.000000,1.000000,0.672175,NaN,0.672175,9644.783120,0.003329
