Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
7,7,0,0.995444,0.994753,0.999643,1.000000,0.937865,0.962463,0.924285,86.754030,0.000583
19,12,29,0.986203,0.989679,0.998188,1.000000,0.825610,0.952864,0.776687,207.721072,0.000525
23,4,40,0.985638,0.988135,0.997891,1.000000,0.861737,0.959315,0.828324,227.528498,0.000436
27,4,41,0.984680,0.987364,0.997742,1.000000,0.826325,0.892248,0.803291,240.397647,0.000417
36,9,60,0.980584,0.985821,0.997594,1.000000,0.779171,0.762952,0.784463,281.881652,0.000350
44,8,65,0.974361,0.982734,0.997074,1.000000,0.797639,0.815504,0.791725,307.759399,0.000293
50,6,70,0.969800,0.979346,0.996687,1.000000,0.793587,0.797026,0.792453,342.374141,0.000291
63,13,165,0.964126,0.974717,0.996390,1.000000,0.713410,0.740527,0.703074,371.984081,0.000278
75,12,184,0.963228,0.973945,0.996093,1.000000,0.658769,0.636165,0.666582,432.894546,0.000277
85,10,191,0.958598,0.970859,0.995202,1.000000,0.692420,0.642270,0.709668,473.532502,0.000246
97,12,193,0.957562,0.968390,0.994964,1.000000,0.662122,0.593467,0.683974,500.880208,0.000236
105,8,207,0.950804,0.963760,0.994519,1.000000,0.679214,0.609192,0.700969,585.753240,0.000254
112,7,225,0.948451,0.963458,0.994459,1.000000,0.680497,0.569163,0.716889,615.534553,0.000249
118,6,236,0.945428,0.962224,0.994281,1.000000,0.694699,0.561081,0.736686,640.353700,0.000238
127,9,257,0.940386,0.956051,0.993167,1.000000,0.718666,0.613761,0.753705,700.165492,0.000232
