Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
7,7,0,0.994792,0.993827,0.999554,1.000000,0.897217,1.000000,0.840472,72.087959,0.000496
19,12,29,0.984543,0.988444,0.998069,1.000000,0.679710,1.000000,0.556573,169.671648,0.000521
23,4,40,0.983930,0.986901,0.997772,1.000000,0.718324,1.000000,0.621873,197.903011,0.000455
27,4,41,0.982210,0.985358,0.997475,1.000000,0.727885,1.000000,0.632803,210.029167,0.000413
36,9,60,0.972040,0.980728,0.996583,1.000000,0.809217,1.000000,0.746977,293.744850,0.000351
44,8,65,0.966855,0.977642,0.996064,1.000000,0.792584,1.000000,0.723924,297.893792,0.000286
50,6,70,0.960765,0.973802,0.995321,1.000000,0.799170,1.000000,0.732955,322.373146,0.000272
63,13,165,0.952322,0.966875,0.994578,0.991622,0.788173,1.000000,0.707425,361.023721,0.000245
75,12,184,0.946626,0.963035,0.993241,0.991622,0.811718,1.000000,0.746639,509.447999,0.000266
85,10,191,0.939258,0.958406,0.992201,0.991427,0.834705,1.000000,0.777856,576.487991,0.000249
97,12,193,0.934434,0.950690,0.991162,0.991427,0.851725,1.000000,0.804533,719.881821,0.000264
105,8,207,0.928025,0.946060,0.990716,0.991427,0.856650,1.000000,0.812114,793.594283,0.000273
112,7,225,0.918911,0.942220,0.989973,0.990697,0.865938,1.000000,0.822117,860.944868,0.000274
118,6,236,0.912535,0.937590,0.989156,0.990697,0.868563,1.000000,0.827261,900.133919,0.000268
127,9,257,0.908252,0.931418,0.988042,0.990697,0.871363,1.000000,0.828397,987.638842,0.000270
