First Fit Weighted Service Suspension Time,Random Fit Weighted Service Suspension Time,NSGA-II Weighted Service Suspension Time,HAGA Weighted Service Suspension Time,MCASGA Weighted Service Suspension Time
6.632427666895502,5.976131141988484,2.8118543874200737,11.78240766782422,24.334142408531857
1.7508468490538989,2.691192103104961,0.8388731659116283,106.10547274880783,51.05280026578246
8.084932524673274,6.927239734961238,2.178680313467421,6.5165541840042085,131.74677986722952
13.898857717361555,7.207868961193215,7.589353611968363,10.886722266865991,140.14779685159758
13.671286919315062,25.922846794679327,4.544106747272748,64.37332286321666,160.13741842768692
17.59970518489752,8.950026878239093,2.5919266111887334,5.58552204402374,46.71862568497701
30.817498432951076,120.09357274480185,14.984859716557622,191.1219462275576,238.67827007607184
46.85700768262637,26.83782497044274,10.899230963906302,13.76301470214626,94.37135040952072
338.92351900844665,338.92351900844665,25.6833782942994,338.92351900844665,197.0609370150782
36.35397899058672,312.68743217589395,25.35390897376711,338.92351900844665,125.36589506367872
338.92351900844665,257.44387069028454,72.28923409707625,64.31173146898035,63.68745459322137
47.170784323962906,44.476921756202515,8.881053017087146,18.45709629376723,207.48573895687895
338.92351900844665,278.0947686264108,43.69008750004691,222.81454044255634,187.6987182055048
33.80221011007501,21.368125079584576,6.9054357180753865,17.176907296968984,127.66328967796684
36.6758150814412,14.083584648680329,16.490110115151722,23.23329461979732,194.61222844242042
338.92351900844665,277.5935469412924,49.225431809712816,338.92351900844665,182.27283583193864
338.92351900844665,299.00337858368533,6.5431402089296125,338.92351900844665,62.20609590441196
67.4790774293491,26.239486613134012,13.403290702610713,20.32593328273864,26.84465953283629
338.92351900844665,97.40040633417038,15.314529863870808,188.42985376924577,42.27607003327055
338.92351900844665,338.92351900844665,71.30908099933707,338.92351900844665,184.75235020109824
338.92351900844665,236.01609510235124,87.02548121082575,338.92351900844665,128.0381778219237
147.42088457291626,76.26414500232555,78.90197666171518,75.14558842745782,114.673844170599
27.05477138480861,16.893691034726736,22.053697489047888,11.43885840694162,84.23072914570044
338.92351900844665,310.49431646794926,94.91784806953126,338.92351900844665,203.9643814842516
338.92351900844665,338.92351900844665,19.911378237113926,338.92351900844665,31.65012592350383
11.374163896826497,62.28960904989108,10.877565475314995,71.42196873122123,26.568846536355856
163.81416063510827,191.9092601401142,159.79379085153286,338.92351900844665,40.93045230219947
66.35304426395044,259.80200019773605,85.17430353668112,22.101476179788214,80.26470357879455
49.82058816044845,18.66679190235435,40.887101185654,33.767096443158366,55.07924064201251
181.28955565362637,174.3158929752868,100.48808179462813,216.10201531549492,47.47111814253439
165.9162131471432,296.6026785665711,161.24001314900846,338.92351900844665,53.06303322116605
85.79904350684504,269.5061482656452,59.19408800201673,338.92351900844665,49.70047682672355
57.57370098345085,137.34398580225894,39.15977176524355,67.9896248461334,15.435674053949981
8.927147461241018,27.704264701458225,103.47624725242406,63.925966679925715,20.246807916585194
6.220736520739893,67.85007866700171,110.2937038219302,104.50572969080861,20.857094031893695
4.526216872953606,105.12403754827503,281.0242195113078,85.35917390611694,8.956280744765293
