Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.964531,0.984725,0.988367,0.990594,0.993675,0.993675,NaN,83.558182,0.000214
25,14,64,0.921587,0.969703,0.980470,0.982732,0.963791,0.963791,NaN,140.025226,0.000163
37,12,72,0.879239,0.954725,0.971558,0.972489,0.963993,0.963993,NaN,195.846970,0.000165
46,9,93,0.854962,0.941087,0.964159,0.962762,0.965679,0.965679,NaN,244.217006,0.000175
52,6,94,0.836368,0.931432,0.961135,0.957822,0.970261,0.970261,NaN,259.001546,0.000160
56,4,128,0.820962,0.925480,0.958289,0.949670,0.973235,0.973235,NaN,283.118893,0.000157
68,12,170,0.794153,0.905986,0.952526,0.938491,0.947171,0.947171,NaN,307.445309,0.000147
76,8,175,0.768767,0.894562,0.946620,0.936160,0.949517,0.949517,NaN,338.137905,0.000146
84,8,185,0.744223,0.882841,0.940075,0.936013,0.954056,0.954056,NaN,358.375180,0.000136
88,4,189,0.729776,0.877650,0.937762,0.936013,0.956404,0.956404,NaN,374.539495,0.000135
96,8,202,0.707970,0.867313,0.934134,0.925070,0.947013,0.947013,NaN,399.129351,0.000132
105,9,222,0.685474,0.858734,0.928904,0.917017,0.945591,0.945591,NaN,426.607813,0.000130
118,13,245,0.651148,0.839984,0.920189,0.916236,0.936150,0.936150,NaN,483.791124,0.000129
131,13,262,0.624374,0.821252,0.909445,0.909608,0.942252,0.942252,NaN,537.096732,0.000128
144,13,271,0.579689,0.802326,0.902401,0.898717,0.943384,0.943384,NaN,617.828355,0.000136
