Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.975827,0.990380,0.990395,1.000000,0.739729,0.739729,NaN,113.344824,0.000390
25,14,64,0.952652,0.981521,0.985059,1.000000,0.714251,0.714251,NaN,207.071067,0.000326
37,12,72,0.935831,0.974080,0.980434,0.999456,0.643639,0.643639,NaN,243.181470,0.000308
46,9,93,0.924199,0.967401,0.977232,0.999401,0.624661,0.624661,NaN,276.123493,0.000306
52,6,94,0.907893,0.958473,0.974742,0.999401,0.659989,0.659989,NaN,403.071879,0.000366
56,4,128,0.894767,0.954009,0.972430,0.999401,0.664650,0.664650,NaN,482.021182,0.000392
68,12,170,0.886196,0.949544,0.971007,0.999401,0.602472,0.602472,NaN,503.378066,0.000378
76,8,175,0.871855,0.943627,0.967805,0.999401,0.604048,0.604048,NaN,532.207215,0.000361
84,8,185,0.858220,0.937709,0.962647,0.999401,0.590490,0.590490,NaN,888.666243,0.000545
88,4,189,0.845620,0.932518,0.960334,0.999401,0.611416,0.611416,NaN,1278.149422,0.000719
96,8,202,0.831938,0.925078,0.957844,0.999401,0.616637,0.616637,NaN,1445.428339,0.000735
105,9,222,0.818759,0.917672,0.953753,0.999401,0.629020,0.629020,NaN,1646.752261,0.000752
118,13,245,0.796312,0.904279,0.946460,0.999401,0.633383,0.633383,NaN,2058.437367,0.000808
131,13,262,0.781060,0.892375,0.940591,0.999401,0.644344,0.644344,NaN,2058.437367,0.000716
144,13,271,0.760131,0.881993,0.937033,0.999401,0.640999,0.640999,NaN,2076.958141,0.000672
