Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.965717,0.985469,0.989079,0.995237,0.977861,0.977861,NaN,39.767104,0.000103
25,14,64,0.920292,0.968145,0.980078,0.988250,0.977528,0.977528,NaN,128.304595,0.000148
37,12,72,0.874813,0.952573,0.971007,0.981951,0.983708,0.983708,NaN,153.059083,0.000127
46,9,93,0.849920,0.938637,0.963323,0.981664,0.984914,0.984914,NaN,202.861447,0.000143
52,6,94,0.830154,0.928982,0.960299,0.980239,0.986928,0.986928,NaN,219.173695,0.000133
56,4,128,0.815333,0.923029,0.957453,0.977821,0.988235,0.988235,NaN,225.719670,0.000123
68,12,170,0.784341,0.900857,0.949698,0.967073,0.988886,0.988886,NaN,271.290456,0.000124
76,8,175,0.758754,0.888987,0.943650,0.964502,0.989937,0.989937,NaN,302.465592,0.000125
84,8,185,0.734515,0.877117,0.937069,0.968198,0.991095,0.991095,NaN,334.093572,0.000122
88,4,189,0.721777,0.871926,0.934756,0.964961,0.991550,0.991550,NaN,343.949028,0.000119
96,8,202,0.696237,0.858997,0.929634,0.948582,0.990828,0.990828,NaN,400.693591,0.000127
105,9,222,0.673936,0.849823,0.923942,0.947289,0.987771,0.987771,NaN,440.994114,0.000128
118,13,245,0.639113,0.831222,0.915226,0.949043,0.973526,0.973526,NaN,478.866425,0.000122
131,13,262,0.613240,0.812638,0.904554,0.942903,0.975911,0.975911,NaN,539.190392,0.000124
144,13,271,0.566915,0.792972,0.897012,0.938583,0.977044,0.977044,NaN,592.827756,0.000126
