Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.968781,0.988892,0.990039,0.999506,0.905018,0.905018,NaN,119.766027,0.000337
25,14,64,0.945498,0.982265,0.985343,0.999180,0.704835,0.704835,NaN,196.689755,0.000314
37,12,72,0.936271,0.977064,0.981857,0.997006,0.596187,0.596187,NaN,223.340997,0.000306
46,9,93,0.926597,0.971277,0.979224,0.993693,0.576286,0.576286,NaN,274.045648,0.000327
52,6,94,0.912291,0.963986,0.977161,0.993693,0.597184,0.597184,NaN,286.836984,0.000287
56,4,128,0.900604,0.960117,0.975062,0.992878,0.595844,0.595844,NaN,306.208465,0.000278
68,12,170,0.889294,0.953420,0.973070,0.992855,0.553097,0.553097,NaN,348.405479,0.000289
76,8,175,0.875800,0.949877,0.970117,0.992526,0.545166,0.545166,NaN,370.628359,0.000281
84,8,185,0.858851,0.943662,0.964959,0.992526,0.545240,0.545240,NaN,418.925125,0.000281
88,4,189,0.847762,0.939512,0.963145,0.992526,0.555772,0.555772,NaN,463.507138,0.000289
96,8,202,0.832884,0.932072,0.960655,0.992526,0.565938,0.565938,NaN,476.756660,0.000265
105,9,222,0.821008,0.926902,0.957915,0.992526,0.574565,0.574565,NaN,496.264854,0.000249
118,13,245,0.795300,0.911872,0.950711,0.992411,0.594722,0.594722,NaN,567.984797,0.000238
131,13,262,0.782986,0.902497,0.945909,0.991976,0.587292,0.587292,NaN,608.463613,0.000233
144,13,271,0.762006,0.891870,0.942334,0.988982,0.575029,0.575029,NaN,668.502828,0.000242
