Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.969856,0.989487,0.990199,0.999671,0.812180,0.812180,NaN,69.850712,0.000218
25,14,64,0.944023,0.982043,0.985183,0.998313,0.696418,0.696418,NaN,141.364795,0.000229
37,12,72,0.920857,0.972537,0.979545,0.996359,0.673938,0.673938,NaN,191.313840,0.000231
46,9,93,0.907576,0.964519,0.976129,0.988066,0.662594,0.662594,NaN,247.177417,0.000259
52,6,94,0.893642,0.957822,0.974173,0.988066,0.667139,0.667139,NaN,261.440831,0.000234
56,4,128,0.881398,0.953507,0.971914,0.985566,0.667787,0.667787,NaN,284.464084,0.000231
68,12,170,0.867217,0.945471,0.969637,0.982508,0.620183,0.620183,NaN,348.427918,0.000254
76,8,175,0.851408,0.940595,0.966222,0.982273,0.614867,0.614867,NaN,383.247942,0.000256
84,8,185,0.834907,0.933041,0.960708,0.982267,0.616273,0.616273,NaN,437.499494,0.000256
88,4,189,0.822256,0.928296,0.958609,0.982267,0.630435,0.630435,NaN,477.794646,0.000259
96,8,202,0.804206,0.919666,0.955692,0.980528,0.639257,0.639257,NaN,521.137117,0.000254
105,9,222,0.791219,0.914274,0.952633,0.978860,0.643563,0.643563,NaN,530.267681,0.000235
118,13,245,0.764419,0.898798,0.945304,0.977632,0.655075,0.655075,NaN,605.245199,0.000228
131,13,262,0.749070,0.887492,0.939434,0.974674,0.653607,0.653607,NaN,659.792238,0.000225
144,13,271,0.722863,0.874719,0.935272,0.967097,0.650935,0.650935,NaN,686.499067,0.000218
