Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
12,12,0,0.976935,0.993526,0.996368,0.994448,0.955348,1.000000,0.838774,88.098072,0.000214
26,14,6,0.947980,0.986002,0.993236,0.982538,0.923490,0.978973,0.742674,163.167817,0.000206
40,14,11,0.917978,0.976786,0.989750,0.981620,0.940274,0.979226,0.812186,220.325396,0.000176
47,7,35,0.909140,0.970748,0.988160,0.977331,0.943823,0.981515,0.796792,233.485336,0.000151
58,11,46,0.889469,0.964270,0.985157,0.971031,0.929084,0.960463,0.803915,305.699460,0.000157
70,12,110,0.864057,0.957227,0.981759,0.949422,0.938988,0.963494,0.847125,344.800231,0.000144
84,14,121,0.837783,0.948976,0.978579,0.947917,0.936107,0.957270,0.860809,412.064960,0.000146
96,12,137,0.818794,0.942640,0.975932,0.946068,0.942504,0.960421,0.880918,464.253513,0.000144
103,7,144,0.807801,0.938185,0.973866,0.946023,0.942424,0.961232,0.872562,464.253513,0.000134
107,4,161,0.801073,0.935353,0.972736,0.935001,0.944499,0.962292,0.881099,464.253513,0.000129
112,5,173,0.791328,0.931376,0.971429,0.933147,0.946777,0.963375,0.888174,492.921657,0.000129
122,10,178,0.772529,0.924730,0.968378,0.929993,0.944778,0.965552,0.869702,532.607473,0.000131
135,13,203,0.746780,0.917859,0.965149,0.918789,0.946544,0.967899,0.865877,571.570114,0.000130
139,4,257,0.742831,0.914612,0.964100,0.918242,0.948097,0.968577,0.873649,589.819895,0.000130
150,11,263,0.710458,0.905703,0.961679,0.908226,0.952502,0.971035,0.887328,619.919743,0.000124
