Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
12,12,0,0.980556,0.994617,0.996998,0.998608,0.880113,0.865069,0.919387,170.437865,0.000448
26,14,6,0.966767,0.990775,0.995496,0.989150,0.667238,0.688427,0.598184,318.124386,0.000545
40,14,11,0.947036,0.985043,0.993293,0.988056,0.696965,0.695197,0.702777,373.754642,0.000404
47,7,35,0.943958,0.982039,0.992502,0.988056,0.649613,0.647194,0.659048,376.297381,0.000362
58,11,46,0.934248,0.978072,0.990630,0.988056,0.626244,0.616072,0.666822,491.150598,0.000382
70,12,110,0.916568,0.972643,0.988047,0.987769,0.657197,0.635044,0.740243,571.995512,0.000345
84,14,121,0.897180,0.967511,0.985585,0.987410,0.673918,0.645835,0.773837,846.387926,0.000422
96,12,137,0.887414,0.963182,0.983826,0.987410,0.679720,0.642835,0.806510,927.889770,0.000401
103,7,144,0.879709,0.959783,0.982098,0.987374,0.684564,0.654058,0.797881,941.103863,0.000376
107,4,161,0.877632,0.957997,0.981404,0.987374,0.679028,0.641872,0.811419,952.734506,0.000369
112,5,173,0.877127,0.957185,0.981162,0.987374,0.661084,0.627125,0.780987,983.410551,0.000371
122,10,178,0.865322,0.952731,0.978741,0.987374,0.658709,0.631287,0.757807,1135.431687,0.000401
135,13,203,0.845543,0.947274,0.976505,0.984355,0.663696,0.638511,0.758827,1277.665742,0.000415
139,4,257,0.843410,0.945325,0.976174,0.984081,0.671621,0.643788,0.772801,1285.444698,0.000400
150,11,263,0.816275,0.937864,0.974487,0.981698,0.675246,0.647976,0.771148,1410.647740,0.000399
