Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
12,12,0,0.981855,0.994337,0.996529,1.000000,0.864808,0.813025,1.000000,1221.234714,0.003294
26,14,6,0.960808,0.987863,0.994108,1.000000,0.788511,0.848690,0.592390,2271.288619,0.003375
40,14,11,0.949495,0.983823,0.992575,1.000000,0.725144,0.737868,0.683302,2922.301808,0.003040
47,7,35,0.948039,0.982200,0.992413,1.000000,0.625479,0.623363,0.633730,2964.094679,0.002902
58,11,46,0.938145,0.977745,0.990234,1.000000,0.632687,0.613758,0.708193,3778.060484,0.002861
70,12,110,0.922931,0.972479,0.987974,1.000000,0.667571,0.639581,0.772497,4930.474456,0.002899
84,14,121,0.908513,0.967628,0.985714,1.000000,0.670910,0.644306,0.765566,5877.579145,0.002915
96,12,137,0.901480,0.963173,0.984100,1.000000,0.679175,0.644189,0.799433,7252.687002,0.003123
103,7,144,0.896167,0.960341,0.982567,1.000000,0.678275,0.647961,0.790880,7252.687002,0.002911
107,4,161,0.894807,0.958718,0.981921,1.000000,0.670238,0.632449,0.804888,7686.349488,0.003010
112,5,173,0.894367,0.957906,0.981679,1.000000,0.648818,0.618181,0.756993,7686.349488,0.002945
122,10,178,0.882745,0.953452,0.979257,1.000000,0.653826,0.622992,0.765253,8153.711779,0.002890
135,13,203,0.864810,0.948600,0.977563,1.000000,0.651691,0.621645,0.765186,8487.560316,0.002799
139,4,257,0.863577,0.947789,0.977401,1.000000,0.656492,0.622850,0.778791,8802.697498,0.002798
150,11,263,0.843861,0.942107,0.976352,1.000000,0.641243,0.610249,0.750238,9267.003028,0.002760
